"Status","URL","Redirected to","Link Text","On Page","Time stamp"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttp://cocoapods.org%5D(http://cocoapods.org)","","Cocoapods","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/","Jan 24, 2016, 10:53:38 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttp://cocoapods.org%5D(http://cocoapods.org)","","Cocoapods","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/index.html","Jan 24, 2016, 10:53:38 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttps://github.com/brightcove/BCOVSpecs/tree/master/Brightcove-Player-SDK-Widevine%5D(https://github.com/brightcove/BCOVSpecs/tree/master/Brightcove-Player-SDK-Widevine)","","here","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/","Jan 24, 2016, 10:53:39 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttps://github.com/brightcove/BCOVSpecs/tree/master/Brightcove-Player-SDK-Widevine%5D(https://github.com/brightcove/BCOVSpecs/tree/master/Brightcove-Player-SDK-Widevine)","","here","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/index.html","Jan 24, 2016, 10:53:39 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttps://github.com/brightcove/brightcove-player-sdk-ios%5D(https://github.com/brightcove/brightcove-player-sdk-ios)","","Brightcove Player SDK","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/","Jan 24, 2016, 10:53:39 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttps://github.com/brightcove/brightcove-player-sdk-ios%5D(https://github.com/brightcove/brightcove-player-sdk-ios)","","Brightcove Player SDK","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/index.html","Jan 24, 2016, 10:53:39 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttps://github.com/brightcove/brightcove-player-sdk-ios-widevine/releases%5D(https://github.com/brightcove/brightcove-player-sdk-ios-widevine/releases)","","release page","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/","Jan 24, 2016, 10:53:40 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/%5Bhttps://github.com/brightcove/brightcove-player-sdk-ios-widevine/releases%5D(https://github.com/brightcove/brightcove-player-sdk-ios-widevine/releases)","","release page","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/widevine/reference/versions/1.0.10/index.html","Jan 24, 2016, 10:53:40 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/playback-api/getting-started/getVideoByReferenceId","","get video by reference id","http://docs.brightcove.com/en/video-cloud/playback-api/getting-started/api-overview.html","Jan 24, 2016, 10:53:51 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/playback-api/getting-started/getPlaylistByReferenceId","","get playlist by reference id","http://docs.brightcove.com/en/video-cloud/playback-api/getting-started/api-overview.html","Jan 24, 2016, 10:53:51 AM"
